author,year,country,hdi,ni,xi,time
Gosavi S. et al.,2021,India,0.645,70,2,< 2 weeks
Verma H. et al.,2022,India,0.645,78,2,2 weeks - 2 months
Deva FAL. et al.,2022,India,0.645,286,21,NA
Espinoza-Valdez A. et al.,2022,Mexico,0.779,209,17,NA
Elibol E. et al.,2020,Turkey,0.82,155,2,NA
Özçelik Korkmaz M. et al.,2021,Turkey,0.82,116,13,2 weeks - 2 months
Durgut O. et al.,2021,Turkey,0.82,20,4,NA
AlJasser A. et al.,2021,Saudi Arabia,0.854,300,24,NA
Almishaal AA. et al.,2022,Saudi Arabia,0.854,301,30,< 2 weeks
Alghamdi HY. et al.,2022,Saudi Arabia,0.854,2218,419,> 2 months
"Viola P, Ralli M. et al.",2021,Italy,0.892,185,43,2 weeks - 2 months
Gallus R. et al.,2021,Italy,0.892,48,2,2 weeks - 2 months
Freni F. et al.,2020,Italy,0.892,50,10,< 2 weeks
Jarach CM. et al.,2022,Italy,0.892,4400,358,NA
Vielsmeier V. et al.,2021,Germany,0.947,28,3,< 2 weeks
Degen CV. et al.,2022,Germany,0.947,1082,332,> 2 months
